date,up,work,down
2016-08-24,,,00:40
2016-08-25,09:00,19:55,00:40
2016-08-26,08:29,20:30,00:21
2016-08-27,11:24,,01:30
2016-08-28,10:06,,00:21
2016-08-29,09:08,18:55,00:06
2016-08-30,09:03,18:11,00:56
2016-08-31,08:58,18:18,01:07
2016-09-01,09:00,18:30,00:47
2016-09-02,08:55,19:30,03:30
2016-09-03,11:19,,01:34
2016-09-04,09:09,,23:45
2016-09-05,08:52,18:32,00:02
2016-09-06,08:54,18:31,00:41
2016-09-07,08:50,19:45,00:40
2016-09-08,09:12,18:42,01:16
2016-09-09,09:04,18:44,00:32
2016-09-10,11:41,19:00,02:03
2016-09-11,10:36,,01:32
2016-09-12,08:43,22:15,01:37
2016-09-13,08:48,17:36,02:22
2016-09-14,09:09,,00:51
2016-09-15,10:46,,01:13
2016-09-16,10:34,,03:15
2016-09-17,11:33,,00:56
2016-09-18,06:16,21:35,01:05
2016-09-19,08:43,22:15,01:37
2016-09-20,09:19,19:07,01:21
2016-09-21,09:17,19:03,00:26
2016-09-22,09:17,18:47,00:59
2016-09-23,09:10,18:11,00:24
2016-09-24,08:46,21:50,01:20
2016-09-25,09:03,,00:55
2016-09-26,09:05,18:56,
2016-11-07,08:55,18:18,01:18
2016-11-08,09:16,20:07,00:40
2016-11-09,09:24,18:27,00:37
2016-11-10,09:30,18:24,01:15
2016-11-11,09:23,20:21,00:45
2016-11-12,10:47,,00:46
2016-11-13,11:55,,00:30
2016-11-14,09:24,18:17,00:30
2016-11-15,09:29,18:33,00:37
2016-11-16,09:33,18:47,00:56
2016-11-17,09:06,18:14,00:41
2016-11-18,08:54,18:54,00:37
2016-11-19,09:58,,00:10
2016-11-20,10:35,,00:30
2016-11-21,09:07,18:34,01:28
2016-11-22,09:32,20:00,
2016-11-28,09:26,23:23,01:22
2016-11-29,09:36,21:16,00:56
2016-11-30,09:29,19:05,01:21
2016-12-01,09:21,18:35,01:49
2016-12-02,09:25,18:42,01:20
2016-12-03,11:30,18:30,04:14
2016-12-04,10:49,,01:10
2016-12-05,09:12,19:57,01:18
2016-12-06,09:27,19:19,00:55
2016-12-07,09:27,19:00,00:58
2016-12-08,09:12,18:57,00:42
2016-12-09,09:25,18:24,00:48
2016-12-10,11:31,,23:32
2016-12-11,10:35,,00:22
2016-12-12,06:53,19:43,00:45
2016-12-13,09:14,21:20,00:25
2016-12-14,09:15,18:45,00:38
2016-12-15,08:49,18:45,01:14
2016-12-16,09:13,19:07,01:58
2016-12-17,11:14,,01:53
2016-12-18,11:09,,00:52
2016-12-19,09:34,,

